candidate_id,ticker,owner_name,title,entry_trade_day,transaction_date,trade_date,buy_datetime,buy_price,last_price,value,live_entry_bucket,prev_regular_close,live_gap_to_entry_pct,current_prod4_score,baseline_replay_score,gap_feature_replay_score,gap_score_delta,current_prod4_rank,baseline_replay_rank,gap_feature_replay_rank,rank_change_gap_vs_baseline,actually_traded,actual_status,sleeve_id
DUOL|2026-03-03|2026-03-08 14:52:23,DUOL,Shelton James H,Dir,2026-03-09,2026-03-04 16:49:44,2026-03-03 00:00:00,2026-03-09 09:30:00,100.79,$99.76,"+$498,792",open,101.92,-1.1087127158555643,0.7232361855186197,0.6845888968410055,0.759073797652444,0.07448490081143844,37,32,29,3,False,,
KDOZF|2026-03-06|2026-03-08 14:52:23,KDOZF,Williams Tryon M,"COB, 10%",2026-03-09,2026-03-06 21:28:07,2026-03-06 00:00:00,2026-03-09 09:30:00,0.232,$0.23,"+$1,824",open,0.23,0.8695652173912993,0.998168138753359,1.271883925008556,0.7434977825220788,-0.5283861424864773,20,16,30,-14,False,,
NAII|2026-03-04|2026-03-08 14:52:23,NAII,Ledoux Mark A,"CEO, COB, 10%",2026-03-09,2026-03-06 19:36:05,2026-03-04 00:00:00,2026-03-09 09:30:00,2.74,$2.78,"+$3,474",open,2.73,0.366300366300365,0.7622007288615577,0.7035269485855795,0.7248745972248838,0.021347648639304273,32,31,31,0,False,,
WD|2026-03-02|2026-03-08 14:52:23,WD,Walker William M,"COB, CEO",2026-03-09,2026-03-03 16:15:36,2026-03-02 00:00:00,2026-03-09 09:30:00,48.03,$47.46,"+$474,632",open,48.19,-0.332019091097735,0.8623473705046218,0.6001331551789769,0.7113264547334158,0.1111932995544389,25,34,32,2,False,,
LAW|2026-02-27|2026-03-08 14:52:23,LAW,Goodman Robert P,Dir,2026-03-09,2026-03-03 19:33:37,2026-02-27 00:00:00,2026-03-09 09:30:00,4.8,$3.19,"+$3,275,173",open,4.79,0.20876826722338038,1.3551245182833975,0.4571343806260823,0.6975924542938334,0.24045807366775113,8,35,33,2,True,filled,sleeve_1
SSP|2026-03-03|2026-03-08 14:52:23,SSP,Barmonde Charles L.,"Dir, 10%",2026-03-09,2026-03-05 08:59:22,2026-03-03 00:00:00,2026-03-09 09:30:00,4.8,$3.91,"+$156,324",open,4.57,5.032822757111588,1.2887615410779183,0.6237080880537396,0.695523767875638,0.0718156798218984,10,33,34,-1,True,filled,sleeve_1
FRSH|2026-03-02|2026-03-08 14:52:23,FRSH,Woodside Dennis,"CEO, Pres",2026-03-09,2026-03-03 17:01:53,2026-03-02 00:00:00,2026-03-09 09:30:00,8.55,$7.95,"+$993,750",open,8.63,-0.9269988412514474,0.7136275332719386,0.4529189255673925,0.6493501868716838,0.19643126130429128,40,36,35,1,False,,
KDOZF|2026-03-04|2026-03-08 14:52:23,KDOZF,Williams Tryon M,"COB, 10%",2026-03-09,2026-03-05 20:42:40,2026-03-04 00:00:00,2026-03-09 09:30:00,0.232,$0.22,+$446,open,0.23,0.8695652173912993,0.8470391335403179,0.8226685657690567,0.5599486128494225,-0.2627199529196341,27,29,36,-7,False,,
THRY|2026-03-02|2026-03-08 14:52:23,THRY,Rouse Paul D,"CFO, EVP, Treasurer",2026-03-09,2026-03-04 15:32:29,2026-03-02 00:00:00,2026-03-09 09:30:00,3.18,$2.43,"+$48,560",intraday,3.18,0.0,0.7858030488469744,-0.5800203065811897,0.2635170456366494,0.8435373522178391,30,40,37,3,True,filled,sleeve_1
ENTX|2026-03-05|2026-03-09 12:52:45,ENTX,Ellis Sean,Dir,2026-03-09,2026-03-09 08:30:21,2026-03-05 00:00:00,2026-03-09 09:30:00,1.4,$1.23,"+$12,300",open,1.25,11.675022624434378,1.067694934499056,1.0311786129029785,0.2381659549662412,-0.7930126579367374,17,22,38,-16,True,filled,sleeve_1
