candidate_id,ticker,status,signal_score,estimated_decile_score,sleeve_id,entry_bucket,entry_trade_day,intended_entry_at,expires_at,replacement_for_lot_id,last_reason,last_updated_at
HYMC|2026-03-05|2026-03-08 14:52:23,HYMC,expired,0.801417353259504,0.9196338516355502,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
CLRO|2026-03-02|2026-03-08 14:52:23,CLRO,expired,0.7970058439241154,0.9187110900401496,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
THRY|2026-03-02|2026-03-08 14:52:23,THRY,filled,0.7858030488469744,0.9163677856804822,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_after_partial_fill,2026-03-09T19:30:50Z
NAII|2026-02-27|2026-03-08 14:52:23,NAII,expired,0.7690517266870578,0.91310282734895,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
NAII|2026-03-04|2026-03-08 14:52:23,NAII,expired,0.7622007288615577,0.9118300893809796,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
ABSI|2026-02-27|2026-03-08 14:52:23,ABSI,expired,0.7600208979586349,0.9114251332527528,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
VITL|2026-03-02|2026-03-08 14:52:23,VITL,expired,0.7408219977249576,0.9069889934968962,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
THRY|2026-03-04|2026-03-08 14:52:23,THRY,expired,0.7378042873182493,0.9062007666257036,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
GPK|2026-03-04|2026-03-08 14:52:23,GPK,expired,0.7360624486959515,0.9057457978505938,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
DUOL|2026-03-03|2026-03-08 14:52:23,DUOL,expired,0.7232361855186197,0.9025338206479402,sleeve_1,open,2026-03-09,2026-03-09T09:30:00-04:00,2026-03-09T15:30:00-04:00,,entry_window_closed_without_fill,2026-03-09T19:30:50Z
