split,ticker,buy_datetime,ret_1d_pct,entry_price,entry_bar_time,ret_15m_pct,checkpoint_15m_dt,ret_30m_pct,checkpoint_30m_dt,ret_60m_pct,checkpoint_60m_dt,ret_120m_pct,checkpoint_120m_dt,ret_same_day_close_pct,same_day_close_dt,selected_signal,selected_threshold_pct,flagged,strategy_ret_pct,improvement_pct
val,DC,2024-06-25 09:45:00,-0.817,2.45,2024-06-25 09:47:00,2.0408163265306145,2024-06-25 10:28:00,2.4489795918367196,2024-06-25 11:35:00,2.857142857142847,2024-06-25 13:26:00,-0.20408163265307477,2024-06-25 15:55:00,-0.20408163265307477,2024-06-25 15:59:00,none,,False,-0.817,0.0
val,ADV,2024-06-25 09:45:00,4.3046,2.995,2024-06-25 09:45:00,1.6694490818029983,2024-06-25 10:03:00,4.173622704507518,2024-06-25 10:23:00,2.170283806343898,2024-06-25 11:05:00,1.5025041736226985,2024-06-25 12:54:00,2.170283806343898,2024-06-25 15:59:00,none,,False,4.3046,0.0
val,GOSS,2024-06-25 09:45:00,3.2198,0.9149,2024-06-25 09:45:00,1.9018471964149075,2024-06-25 10:00:00,1.333479068750676,2024-06-25 10:15:00,16.96360257951688,2024-06-25 10:45:00,9.301563012351078,2024-06-25 11:46:00,10.394578642474572,2024-06-25 15:59:00,none,,False,3.2198,0.0
val,AESI,2024-06-27 09:45:00,0.8093,19.79,2024-06-27 09:45:00,0.2526528549772644,2024-06-27 10:00:00,-0.025265285497722,2024-06-27 10:17:00,0.40424456796361863,2024-06-27 10:49:00,-0.3031834259727084,2024-06-27 11:59:00,0.050530570995466206,2024-06-27 15:59:00,none,,False,0.8093,0.0
val,AEI,2024-06-27 09:45:00,4.4025,1.58,2024-06-27 09:45:00,8.860759493670889,2024-06-27 10:00:00,11.392405063291132,2024-06-27 10:15:00,10.88607594936708,2024-06-27 10:52:00,17.08860759493671,2024-06-27 12:03:00,24.68354430379747,2024-06-27 15:59:00,none,,False,4.4025,0.0
val,MRVL,2024-06-25 09:45:00,0.0146,67.76,2024-06-25 09:45:00,0.08854781582052773,2024-06-25 10:00:00,0.3984651711924414,2024-06-25 10:15:00,0.47225501770955525,2024-06-25 10:45:00,0.7378984651711828,2024-06-25 11:45:00,0.7821723730814689,2024-06-25 15:59:00,none,,False,0.0146,0.0
val,BATRA,2024-06-26 09:45:00,0.8878,40.385,2024-06-26 10:16:00,0.6066608889439218,2024-06-26 14:50:00,,,,,,,0.4333292063885219,2024-06-26 15:59:00,none,,False,0.8878,0.0
val,SAIC,2024-06-25 09:45:00,1.3656,116.41,2024-06-25 10:04:00,0.42092603728203226,2024-06-25 10:39:00,-0.5154196374881792,2024-06-25 11:06:00,0.4295163645734901,2024-06-25 11:54:00,0.5497809466540771,2024-06-25 13:42:00,1.0394296022678606,2024-06-25 15:59:00,none,,False,1.3656,0.0
val,ARDS,2024-07-01 09:45:00,15.0,0.06,2024-07-01 09:48:00,16.666666666666675,2024-07-01 15:18:00,,,,,,,6.999999999999984,2024-07-01 15:45:00,none,,False,15.0,0.0
val,HQI,2024-06-27 09:45:00,0.4065,12.3,2024-06-27 09:45:00,0.0,2024-06-27 12:28:00,,,,,,,-0.40650406504065817,2024-06-27 14:47:00,none,,False,0.4065,0.0
