strategy,min_decile_score,min_alloc_fraction,max_alloc_fraction,w_score,w_price_edge,w_risk_quality,w_range_risk,w_sd_risk,w_vol_risk,w_mom_risk,raw_pred_mean4_cutoff,n_trades,return_pct,max_drawdown_pct,win_rate_pct,mean_trade_ret_pct,std_trade_ret_pct,sharpe_trade,sortino_trade,cvar5_trade_ret_pct,objective_val,avg_alloc_fraction,p95_alloc_fraction,max_alloc_fraction_realized,avg_sizing_signal
cfg_060,0.9,0.05,0.4,0.55,0.25,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,567,3044.153238406584,-6.9275304023238675,61.022927689594354,3.544779746031746,8.612079156102993,0.41160556954701466,0.9833386236666171,-11.572886206896552,3040.689473205422,0.21249218984941293,0.3299437051308674,0.3511559128667533,0.4642633995697511
cfg_036,0.9,0.05,0.4,0.6,0.2,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,565,3041.73787677066,-6.970188251818776,60.53097345132743,3.5509016141592915,8.659186720440404,0.41007333930994083,0.9856497847577753,-11.572886206896552,3038.252782644751,0.20960026157606493,0.3295876936856576,0.3503361774469767,0.4560007473601854
cfg_016,0.9,0.08,0.4,0.5,0.2,0.3,0.25,0.2,0.4,0.15,0.7129917140924689,556,3039.2875320957764,-7.016015438287337,60.97122302158273,3.5238890575539563,8.692627914952437,0.40538823150274433,0.975144149538307,-11.685,3035.7795243766327,0.2168783246423308,0.31027452206961936,0.33788539385479116,0.4277447645072838
cfg_070,0.9,0.08,0.3,0.55,0.25,0.2,0.35,0.25,0.25,0.15,0.7129917140924689,591,3039.1453469437693,-7.172934635244143,60.575296108291035,3.5125311404399318,8.68566701150826,0.40440545738006406,0.9674110245832053,-11.742790000000001,3035.5588796261472,0.180769027324881,0.2558442888763061,0.26269800237338775,0.4580410332949138
cfg_008,0.9,0.08,0.4,0.5,0.2,0.3,0.3,0.2,0.3,0.2,0.7129917140924689,556,3028.7777589097773,-7.029215878504502,60.79136690647482,3.477038525179856,8.66837625843738,0.4011176282057985,0.96429775958541,-11.685,3025.263150970525,0.21683708421305092,0.31256902712323276,0.32927876641904075,0.4276158881657841
cfg_103,0.9,0.08,0.35,0.5,0.3,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,566,3027.7495276848567,-7.0681425681848875,61.30742049469965,3.523006742049469,8.645019740569994,0.40751864631568624,0.9838061514214034,-11.572886206896552,3024.215456400764,0.2084277598511302,0.2969963933865869,0.30811141503128486,0.47565836981900095
cfg_092,0.9,0.05,0.4,0.65,0.2,0.15,0.35,0.25,0.25,0.15,0.7129917140924689,568,3027.333557084441,-6.984849215779065,60.2112676056338,3.4819009084507035,8.62878915732308,0.4035213799952087,0.9703846384133833,-11.572886206896552,3023.8411324765516,0.2137127669735106,0.3450741694911691,0.3539612486402278,0.46775076278145883
cfg_135,0.9,0.08,0.35,0.45,0.35,0.2,0.25,0.2,0.4,0.15,0.7129917140924689,560,3011.757709525866,-7.03004491895538,61.07142857142858,3.431207728571428,8.580854897525365,0.3998678184805287,0.9542398681951039,-11.685,3008.2426870663885,0.21144261477680457,0.29655099350373704,0.31358501028772207,0.4868244991733503
cfg_056,0.9,0.08,0.4,0.55,0.25,0.2,0.3,0.2,0.3,0.2,0.7129917140924689,548,3005.9081086239944,-7.102612393906282,61.131386861313864,3.5159810729927004,8.65271103191022,0.4063444462696327,0.9895714531005697,-11.510014285714286,3002.356802427041,0.2300577245688866,0.3369951662788986,0.34960479728291227,0.4689303892777706
cfg_071,0.9,0.08,0.35,0.55,0.25,0.2,0.35,0.25,0.25,0.15,0.7129917140924689,567,3004.3260845187,-7.058009651836949,61.022927689594354,3.5582195978835975,8.697165293968764,0.4091240625668137,0.9929029095554323,-11.572886206896552,3000.7970796927816,0.20521122772529424,0.29585476398826366,0.30422027564006676,0.4637452878714602
