strategy,pred_threshold,vol_q,lr_q,val_objective,test_objective,test_return_pct,test_max_dd_pct,test_sortino,test_n_trades
vol_and_lossrate_cap,0.85,0.7,0.7,324.80666750391924,133.5558348445147,141.50002404266172,-15.888378396294067,0.4743998135528762,245
vol_and_lossrate_cap,0.85,0.7,0.8,395.8056680608613,138.3175467454301,145.90454078744486,-15.17398808402952,0.44239707592194616,271
vol_and_lossrate_cap,0.85,0.7,0.9,525.8056770675167,161.21586078525272,168.80285482726748,-15.17398808402951,0.464640665495556,284
vol_cap,0.85,0.8,,1032.3510164989248,273.5660789668124,277.8066608365156,-8.481163739406428,0.5098282151895359,321
vol_and_lossrate_cap,0.85,0.8,0.7,485.8602571528343,163.7655250867153,171.35365789037684,-15.176265607323092,0.4556569475953983,277
vol_and_lossrate_cap,0.85,0.8,0.8,601.0730031267118,151.87948728837202,161.85118986311093,-19.9434051494778,0.41329748471909816,306
vol_and_lossrate_cap,0.85,0.8,0.9,832.2750685769433,163.87203112923856,171.83894406995327,-15.933825881429398,0.44157632788734397,309
vol_cap,0.85,0.9,,1526.5010505740572,289.7413986846259,294.9804233672693,-10.478049365286724,0.4769216287496985,355
vol_and_lossrate_cap,0.85,0.9,0.7,613.8562163857096,190.71976102833102,197.7922072169841,-14.144892377306185,0.4360825978157373,299
vol_and_lossrate_cap,0.85,0.9,0.8,889.2003682797757,177.81695150754246,186.7300959399319,-17.826288864778906,0.41145861501321757,326
vol_and_lossrate_cap,0.85,0.9,0.9,1210.2239276583339,184.73130308884262,193.64444752123208,-17.826288864778917,0.43029793789030163,334
lossrate_cap,0.85,,0.7,3339.4645154752307,437.35407425891026,446.15221426848916,-17.596280019157806,0.5165694971313535,365
lossrate_cap,0.85,,0.8,3884.7502269231272,442.6989077557878,451.09193666566654,-16.78605781975756,0.5438335072903501,391
lossrate_cap,0.85,,0.9,5157.703500957406,619.9654650624883,626.9056548119378,-13.88037949889891,0.6493290783045018,404
