event_key,ticker,company_name,owner_name,title,trade_date,transaction_date,snapshot_timestamp,snapshot_date,snapshot_kind,snapshot_day_idx,snapshot_price,days_remaining_in_10d_cycle,return_since_first_snapshot_pct,max_intraday_runup_so_far_pct,lookahead_days_used,label_end_date,hit_8pct_intraday_next3d,prob_HGB,prob_XGBoost,prob_ElasticNet,prob_SplineElasticNet,prob_ensemble_raw,prob_ensemble_calibrated,prob_metadata_baseline,prob_global_base_rate
DYNR|2024-10-18,DYNR,Dynaresource Inc,Rose Matthew K,"Dir, 10%",2024-10-18,2024-10-22 20:16:25,2024-10-24 16:00:00,2024-10-24,close,2,0.9461,7,1.7421228089042007,223.690719432197,3,2024-10-29,0,0.558236667361668,0.2324734479188919,0.5048307864520588,0.32543730658294046,0.40524455207888976,0.19732329564276374,0.11503892527415593,0.10439814814814814
DYNR|2024-10-18,DYNR,Dynaresource Inc,Rose Matthew K,"Dir, 10%",2024-10-18,2024-10-22 20:16:25,2024-10-25 16:00:00,2024-10-25,close,3,0.8975,6,-3.484245617808368,223.690719432197,3,2024-10-30,1,0.5861096794346801,0.2236059308052063,0.5302431200937351,0.34147799473334856,0.4203591812667425,0.20668533432151834,0.11503892527415593,0.10439814814814814
CSBB|2024-10-25,CSBB,"Csb Bancorp, Inc.",Steiner Eddie L,"Pres, CEO",2024-10-25,2024-10-28 09:47:46,2024-10-28 16:00:00,2024-10-28,close,0,39.0,9,0.0,11.410256410256414,3,2024-11-05,0,0.0073434585314329,0.0872412919998169,0.08051121679153732,0.06439372857487798,0.059872423974416264,0.06120391556368678,0.07774769984723719,0.10439814814814814
DYNR|2024-10-18,DYNR,Dynaresource Inc,Rose Matthew K,"Dir, 10%",2024-10-18,2024-10-22 20:16:25,2024-10-28 16:00:00,2024-10-28,close,4,0.8,5,-13.969244004731685,223.690719432197,3,2024-10-31,1,0.8514288512725968,0.2852158546447754,0.7466386760291606,0.5663417709051434,0.612406288212919,0.3527488876884778,0.11503892527415593,0.10439814814814814
FBIZ|2024-10-30,FBIZ,"First Business Financial Services, Inc.",Sanders Carol P,Dir,2024-10-30,2024-10-31 17:14:10,2024-11-01 09:30:00,2024-11-01,open,0,42.92,9,0.0,10.041938490214331,3,2024-11-05,0,0.0073280017665056174,0.07704373449087143,0.07099503744092978,0.05852921402049198,0.0534739969296997,0.05980620892548495,0.17804306987953702,0.10439814814814814
FBIZ|2024-10-30,FBIZ,"First Business Financial Services, Inc.",Sanders Carol P,Dir,2024-10-30,2024-10-31 17:14:10,2024-11-01 16:00:00,2024-11-01,close,1,43.18,8,0.6057781919850846,10.041938490214331,3,2024-11-06,1,0.011298339048776244,0.07787080854177475,0.05967648263428862,0.04282352058810732,0.047917287703236736,0.05861667620225551,0.08162734236276123,0.10439814814814814
LOB|2024-10-29,LOB,"Live Oak Bancshares, Inc.",Cameron William Henderson,Dir,2024-10-29,2024-10-31 16:22:51,2024-11-01 09:30:00,2024-11-01,open,0,40.23,9,0.0,148.29729057916978,3,2024-11-05,0,0.09469288065920153,0.1586441993713379,0.13469787052749313,0.1599035221908273,0.13698461818721497,0.08061339027481204,0.17826716729957526,0.10439814814814814
LOB|2024-10-29,LOB,"Live Oak Bancshares, Inc.",Cameron William Henderson,Dir,2024-10-29,2024-10-31 16:22:51,2024-11-01 16:00:00,2024-11-01,close,1,41.06,8,2.063136962465828,148.29729057916978,3,2024-11-06,1,0.11956310334438629,0.1269000768661499,0.1109033772582362,0.11841217817201619,0.11894468391019714,0.07562225931320093,0.08174215282045802,0.10439814814814814
PFE|2024-10-30,PFE,Pfizer Inc,Gottlieb Scott,Dir,2024-10-30,2024-10-31 16:06:54,2024-11-01 09:30:00,2024-11-01,open,0,28.48,9,0.0,116.67837078651684,3,2024-11-05,0,0.005928266933383089,0.07226762920618057,0.05256321485598392,0.056674882264417636,0.04685849831499131,0.05839255022925148,0.17833616477287823,0.10439814814814814
PFE|2024-10-30,PFE,Pfizer Inc,Gottlieb Scott,Dir,2024-10-30,2024-10-31 16:06:54,2024-11-01 16:00:00,2024-11-01,close,1,28.09,8,-1.36938202247191,116.67837078651684,3,2024-11-06,0,0.0034448869211013713,0.07509607076644897,0.04643392069278912,0.044980219820228914,0.04248877455014209,0.057476040308400776,0.08177750870028026,0.10439814814814814
SCND|2024-10-31,SCND,Scientific Industries Inc,Moore John A,COB,2024-10-31,2024-10-31 17:00:33,2024-11-01 09:30:00,2024-11-01,open,0,1.03,9,0.0,579.6116504854368,3,2024-11-05,0,0.9905852806165463,0.3270163834095001,0.7964957515211327,0.7524725777559604,0.7166424983257849,0.4485838734234577,0.1686369767044298,0.10439814814814814
