horizon,target,scenario,n_train,n_val,n_test,r2_test,top_decile_mean,bottom_decile_mean,decile_spread,top_decile_win_rate,n_decile,delta_top_decile_mean,delta_decile_spread,delta_top_decile_win_rate
5,return_5d_pct,plus_qty_log,8853,2951,2951,-0.008047872224679509,0.4653728509515987,-0.21871720456840726,0.684090055520006,0.559322033898305,295,0.014284397550311079,0.10718215268699827,0.01016949152542368
5,return_5d_pct,plus_value_per_share_delta,8853,2951,2951,-0.009858433229029018,0.37242541610042906,-0.2556378808322948,0.6280632969327238,0.535593220338983,295,-0.07866303730085855,0.051155394099716034,-0.013559322033898313
5,return_5d_pct,plus_ticker_buy_count_30d,8853,2951,2951,-0.0032091402285645554,0.4264793280754454,-0.12670477622727164,0.553184104302717,0.5559322033898305,295,-0.024609125325842196,-0.02372379853029072,0.006779661016949157
5,return_5d_pct,plus_ticker_buy_count_90d,8853,2951,2951,-0.00970441764738128,0.3923111032872212,-0.09996307419222936,0.49227417747945057,0.535593220338983,295,-0.05877735011406643,-0.08463372535355718,-0.013559322033898313
5,return_5d_pct,plus_same_ticker_insider_count_365d,8853,2951,2951,0.007408810065652971,0.597821714270307,-0.22378677191041169,0.8216084861807187,0.5864406779661017,295,0.14673326086901933,0.24470058334771094,0.037288135593220306
5,return_5d_pct,plus_overnight_gap_to_entry,8853,2951,2951,0.00278512663016095,0.35533683018458573,-0.3075291791374896,0.6628660093220753,0.5525423728813559,295,-0.09575162321670189,0.08595810648906754,0.003389830508474523
5,return_5d_pct,plus_open_to_buy_move,8853,2951,2951,-0.001528640266587944,0.439251906213841,-0.21217698565878645,0.6514288918726274,0.5423728813559322,295,-0.011836547187446589,0.07452098903961968,-0.006779661016949157
5,return_5d_pct,plus_market_relative_5d,8853,2951,2951,-0.007248832658254267,0.3901625458379263,-0.19015373069988956,0.5803162765378158,0.5457627118644067,295,-0.0609259075633613,0.0034083737048080653,-0.003389830508474634
5,return_5d_pct,plus_all_candidates,8853,2951,2951,0.009608572537363469,0.6823271755308764,-0.177800835482691,0.8601280110135674,0.5864406779661017,295,0.2312387221295888,0.28322010818055965,0.037288135593220306
10,return_10d_pct,baseline,8797,2932,2933,-0.03703293989178014,0.15507647511891978,-0.04766541813853412,0.2027418932574539,0.5085324232081911,293,0.0,0.0,0.0
10,return_10d_pct,plus_cluster_buy,8797,2932,2933,-0.03703293989178014,0.15507647511891978,-0.04766541813853412,0.2027418932574539,0.5085324232081911,293,0.0,0.0,0.0
10,return_10d_pct,plus_insider_bought_ticker,8797,2932,2933,-0.029454015445124826,0.12928971543948836,0.00016594892838604793,0.1291237665111023,0.49829351535836175,293,-0.02578675967943142,-0.0736181267463516,-0.010238907849829393
10,return_10d_pct,plus_days_since_last_buy_any,8797,2932,2933,-0.01976759901103775,0.28263152647625034,-0.12707081914207585,0.4097023456183262,0.5324232081911263,293,0.12755505135733056,0.2069604523608723,0.023890784982935176
10,return_10d_pct,plus_days_since_last_buy_same_ticker,8797,2932,2933,-0.019800682971527372,0.2819260420695949,-0.07793649453363755,0.3598625366032324,0.5324232081911263,293,0.1268495669506751,0.15712064334577852,0.023890784982935176
10,return_10d_pct,plus_filing_hour_et,8797,2932,2933,-0.015672190057379076,0.19560949439133835,-0.19810179258531707,0.3937112869766554,0.5051194539249146,293,0.04053301927241856,0.19096939371920152,-0.0034129692832765013
10,return_10d_pct,plus_is_after_close,8797,2932,2933,-0.028966362586420935,0.07860293390005438,-0.16398349837807072,0.2425864322781251,0.4880546075085324,293,-0.0764735412188654,0.0398445390206712,-0.02047781569965873
10,return_10d_pct,plus_filing_weekday,8797,2932,2933,-0.02753068927886626,0.11453745335445775,-0.08034225801775816,0.1948797113722159,0.4812286689419795,293,-0.04053902176446203,-0.00786218188523799,-0.02730375426621162
10,return_10d_pct,plus_momentum_slope,8797,2932,2933,-0.025942201719746816,0.18350424807583246,-0.16625670541764284,0.3497609534934753,0.49829351535836175,293,0.028427772956912678,0.1470190602360214,-0.010238907849829393
10,return_10d_pct,plus_vol_regime,8797,2932,2933,-0.02528896474340603,0.16768629188618692,-0.19338576654505668,0.36107205843124357,0.4948805460750853,293,0.012609816767267135,0.15833016517378967,-0.013651877133105839
10,return_10d_pct,plus_qty_log,8797,2932,2933,-0.031189014695915063,0.16904607704117375,-0.125331535125714,0.29437761216688774,0.5051194539249146,293,0.013969601922253966,0.09163571890943384,-0.0034129692832765013
10,return_10d_pct,plus_value_per_share_delta,8797,2932,2933,-0.025188907316266773,0.15690402092179662,-0.17258625120511353,0.3294902721269102,0.4948805460750853,293,0.0018275458028768343,0.12674837886945628,-0.013651877133105839
10,return_10d_pct,plus_ticker_buy_count_30d,8797,2932,2933,-0.01672035575629449,0.23808389376975106,-0.14389059092139184,0.3819744846911429,0.5221843003412969,293,0.08300741865083128,0.17923259143368903,0.013651877133105783
10,return_10d_pct,plus_ticker_buy_count_90d,8797,2932,2933,-0.005253316940347252,0.1611743910785753,-0.16005630345645488,0.32123069453503017,0.4948805460750853,293,0.006097915959655531,0.11848880127757627,-0.013651877133105839
10,return_10d_pct,plus_same_ticker_insider_count_365d,8797,2932,2933,-0.02751449620096813,0.2662165250924826,-0.10630788610412227,0.3725244111966049,0.5187713310580204,293,0.11114004997356283,0.169782517939151,0.010238907849829282
10,return_10d_pct,plus_overnight_gap_to_entry,8797,2932,2933,-0.020500246821349766,0.2199578406019651,-0.07387664674644487,0.29383448734841,0.5119453924914675,293,0.06488136548304532,0.0910925940909561,0.0034129692832763903
10,return_10d_pct,plus_open_to_buy_move,8797,2932,2933,-0.03537270885892596,0.11248837724287619,-0.13874811876213672,0.2512364960050129,0.4948805460750853,293,-0.04258809787604359,0.04849460274755901,-0.013651877133105839
10,return_10d_pct,plus_market_relative_5d,8797,2932,2933,-0.025924581927361245,0.1986805383830354,-0.11982748659414444,0.31850802497717984,0.5085324232081911,293,0.04360406326411562,0.11576613171972594,0.0
10,return_10d_pct,plus_all_candidates,8797,2932,2933,0.003528472577052355,0.34651586154521036,-0.2599324042499305,0.6064482657951409,0.5426621160409556,293,0.19143938642629058,0.403706372537687,0.03412969283276446
